station,meas_wse
4390.28,348.076
4389.28,348.026
4388.28,348.026
4387.28,348.026
4386.28,348.026
4385.279,348.026
4384.279,348.026
4383.279,348.026
4382.279,348.026
4381.279,348.026
4380.278,348.026
4379.278,348.026
4378.278,348.026
4377.278,348.026
4376.278,348.026
4375.277,348.026
4374.277,348.026
4373.277,348.026
4372.277,348.026
4371.277,348.026
4370.276,348.026
4369.276,348.026
4368.276,348.026
4367.276,348.026
4366.276,347.926
4365.275,347.926
4364.275,347.926
4363.275,347.975
4362.275,347.975
4361.275,347.975
4360.274,347.975
4359.274,347.975
4358.274,347.875
4357.274,347.875
4356.274,347.875
4355.273,347.875
4354.273,347.926
4353.273,347.826
4352.273,347.876
4351.273,347.926
4350.272,347.826
4349.272,347.876
4348.272,347.826
4347.272,347.826
4346.272,347.826
4345.271,347.826
4344.271,347.826
4343.271,347.826
4342.271,347.826
4341.271,347.826
4340.27,347.826
4339.27,347.826
4338.27,347.876
4337.27,347.926
4336.27,347.876
4335.269,347.826
4334.269,347.826
4333.269,347.826
4332.269,347.826
4331.269,347.826
4330.268,347.726
4329.268,347.826
4328.268,347.826
4327.268,347.826
4326.268,347.826
4325.267,347.826
4324.267,347.826
4323.267,347.776
4322.267,347.826
4321.267,347.826
4320.266,347.676
4319.266,347.676
4318.266,347.726
4317.266,347.826
4316.266,347.826
4315.265,347.776
4314.265,347.826
4313.265,347.826
4312.265,347.826
4311.265,347.774
4310.264,347.774
4309.264,347.774
4308.264,347.774
4307.264,347.774
4306.264,347.774
4305.263,347.774
4304.263,347.774
4303.263,347.774
4302.263,347.774
4301.263,347.826
4300.262,347.726
4299.262,347.776
4298.262,347.726
4297.262,347.726
4296.262,347.726
4295.261,347.726
4294.261,347.726
4293.261,347.726
4292.261,347.726
4291.261,347.726
4290.26,347.726
4289.26,347.726
4288.26,347.726
4287.26,347.726
4286.26,347.726
4285.259,347.726
4284.259,347.726
4283.259,347.726
4282.259,347.726
4281.259,347.726
4280.258,347.726
4279.258,347.726
4278.258,347.726
4276.258,347.726
4275.257,347.726
4274.257,347.726
4273.257,347.726
4272.257,347.726
4271.257,347.726
4270.256,347.726
4269.256,347.726
4268.256,347.726
4267.256,347.676
4266.256,347.726
4265.255,347.726
4264.255,347.726
4263.255,347.726
4262.255,347.726
4261.255,347.726
4260.254,347.626
4259.254,347.626
4258.254,347.676
4257.254,347.626
4256.254,347.677
4255.253,347.675
4254.253,347.674
4253.253,347.674
4252.253,347.674
4251.253,347.674
4250.252,347.727
4249.252,347.727
4248.252,347.727
4247.252,347.727
4246.252,347.727
4245.251,347.727
4244.251,347.727
4243.251,347.727
4242.251,347.727
4241.251,347.727
4240.25,347.727
4239.25,347.727
4238.25,347.727
4237.25,347.727
4235.249,347.727
4234.249,347.727
4233.249,347.727
4232.249,347.677
4231.249,347.727
4230.248,347.727
4229.248,347.677
4228.248,347.727
4227.248,347.727
4226.248,347.727
4225.247,347.727
4224.247,347.727
4223.247,347.727
4222.247,347.727
4221.247,347.677
4220.246,347.727
4219.246,347.727
4218.246,347.727
4217.246,347.727
4216.246,347.627
4215.245,347.627
4214.245,347.727
4213.245,347.627
4212.245,347.627
4211.245,347.627
4210.244,347.627
4209.244,347.627
4208.244,347.627
4207.244,347.627
4206.244,347.627
4205.243,347.627
4204.243,347.627
4203.243,347.727
4202.243,347.627
4201.243,347.627
4200.242,347.677
4199.242,347.727
4198.242,347.627
4197.242,347.677
4196.242,347.627
4195.241,347.627
4194.241,347.627
4193.241,347.627
4192.241,347.627
4191.241,347.627
4190.24,347.627
4189.24,347.627
4188.24,347.627
4187.24,347.627
4186.24,347.627
4185.239,347.627
4184.239,347.627
4183.239,347.627
4182.239,347.727
4181.239,347.627
4180.238,347.627
4179.238,347.627
4178.238,347.627
4177.238,347.627
4176.237,347.627
4175.237,347.627
4174.237,347.627
4173.237,347.627
4172.237,347.627
4171.236,347.627
4170.236,347.627
